Title,Location,Company,Posting,Salary,Salary_Low,Salary_High,Unit,Currency
Medical Representative (Jakarta),Jakarta Raya,PT Anugerah Pharmindo Lestari (APL),7 hari yang lalu,,,,,
Staff Sales Admin,Jakarta Pusat,PT Trafoindo Prima Perkasa,7 hari yang lalu,,,,,
Sales Supervisor (JABODETABEK),Jakarta Raya,PT Sumber Kosmetika Indah,1 hari yang lalu,,,,,
Sales Executive - Freight Forwarding,Jakarta Pusat,PT Dexter Eurekatama (Dexter Cargo),15 hari yang lalu,Rp 5.500.000 – Rp 7.500.000 per month,5500000.0,7500000.0,month,IDR
Business Consultant Jakarta,Jakarta Pusat,PT Galva Galindra Multi Cipta,20 hari yang lalu,Rp 5.400.000 – Rp 7.000.000 per month,5400000.0,7000000.0,month,IDR
Services Head Indonesia,Jakarta Raya,Citibank,17 jam yang lalu,,,,,
Travel & Formalities Officer,Jakarta Pusat,PT BAGAS BUMI PERSADA,1 hari yang lalu,,,,,
SERVICE FRONTLINE,Jakarta Raya,PT. Bank KEB Hana Indonesia,8 hari yang lalu,,,,,
English Teacher,Jakarta Raya,PT UPI,2 hari yang lalu,,,,,
Customer Experience - Japanese Speaker,Jakarta Pusat,PT Mitracomm Ekasarana,27 hari yang lalu,Rp 5.700.000 – Rp 6.500.000 per month,5700000.0,6500000.0,month,IDR
Account Executive Jakarta,Jakarta Pusat,PT Galva Galindra Multi Cipta,19 hari yang lalu,Rp 6.400.000 – Rp 9.000.000 per month,6400000.0,9000000.0,month,IDR
Network Security Engineer,Jakarta Timur,PT. LOTTE INNOVATE INDONESIA,5 hari yang lalu,,,,,
Event Specialist,Jakarta Pusat,PT Daikin Airconditioning Indonesia,20 hari yang lalu,Rp 10.800.000 – Rp 10.900.000 per month,10800000.0,10900000.0,month,IDR
T&T Consultant - AMS - SAP OpenText - ID,Jakarta Raya,Deloitte Consulting SEA,1 hari yang lalu,,,,,
Customer Service Specialist,Jakarta Raya,TE Connectivity,5 hari yang lalu,,,,,
Senior Executive Assistant - Hybrid,Jakarta Raya,Citibank,1 hari yang lalu,,,,,
SERVICE FRONTLINE,Jakarta Raya,PT. Bank KEB Hana Indonesia,8 hari yang lalu,,,,,
CS IMPORT OPERATION STAFF,Jakarta Raya,PT TGL INDONESIA LOGISTICS,1 hari yang lalu,,,,,
General Manager (Activation Event Business Unit),Jakarta Selatan,PT Talentvis Consulting Indonesia,1 hari yang lalu,,,,,
Marine Sales Area,Jakarta Timur,PT Suzuki Indomobil Motor,7 hari yang lalu,,,,,
Customer Service Executive - English,Jakarta Barat,PT Rajawali Berdikari Indonesia,1 hari yang lalu,Rp 5.397.000 – Rp 6.000.000 per month,5397000.0,6000000.0,month,IDR
Sales Supervisor (JABODETABEK),Jakarta Raya,PT Sumber Kosmetika Indah,1 hari yang lalu,,,,,
GA Staff - Trading (C-123164),Jakarta Raya,RGF HR Agent Indonesia,1 hari yang lalu,Rp 5.000.000 – Rp 6.000.000 per month,5000000.0,6000000.0,month,IDR
Staff Sales Admin,Jakarta Pusat,PT Trafoindo Prima Perkasa,7 hari yang lalu,,,,,
Presales Engineer,Jakarta Raya,PT JAC Consulting Indonesia,3 jam yang lalu,Rp 8.000.000 – Rp 12.000.000 per month,8000000.0,12000000.0,month,IDR
English Teacher,Jakarta Raya,PT UPI,2 hari yang lalu,,,,,
Jr Brand Manager (International),Jakarta Pusat,PT Kapal Api Global,2 hari yang lalu,,,,,
ERP Consultant (Fresh Graduate),Jakarta Pusat,PT Hashmicro Solusi Indonesia,1 hari yang lalu,,,,,
OTN Engineer,Jakarta Barat,PT Fiberhome Technologies Indonesia,1 hari yang lalu,,,,,
Retail Area Supervisor,Jakarta Barat,PT. Prabu Indonesia Melangkah,1 hari yang lalu,,,,,
Business Development Executive,Jakarta Selatan,PT Justika Siar Publika,1 hari yang lalu,,,,,
Outbound Document Staff,Jakarta Selatan,PT. Dynamic Container Lines (Wan Hai Lines (Singapore) PTE LTD),6 hari yang lalu,Rp 5.300.000 – Rp 6.500.000 per month,5300000.0,6500000.0,month,IDR
Purchasing,Jakarta Utara,PT Masa Lestari Husada,1 hari yang lalu,,,,,
Supply Chain Project Manager,Jakarta Selatan,PT DyKa Konsultama,2 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month,15000000.0,20000000.0,month,IDR
Ads Account Executive,Jakarta Selatan,PT Lifty Media Indonesia,8 hari yang lalu,Rp 7.000.000 – Rp 9.000.000 per month,7000000.0,9000000.0,month,IDR
"Senior Consultant (Business Advisory Consultant, based in Bali)",Jakarta Selatan,The Practice Consulting,5 jam yang lalu,,,,,
T&T Consultant - AMS - SAP OpenText - ID,Jakarta Raya,Deloitte Consulting SEA,1 hari yang lalu,,,,,
Account Executive (Background Media / TV),Jakarta Selatan,PT Alternative Media Group,8 hari yang lalu,,,,,
Mobile Developer (Java),Jakarta Selatan,PT Indonesia Satu Tujuh,3 jam yang lalu,Rp 6.000.000 – Rp 9.000.000 per month,6000000.0,9000000.0,month,IDR
Travel & Formalities Officer,Jakarta Pusat,PT BAGAS BUMI PERSADA,1 hari yang lalu,,,,,
Operations Manager (Retail Experienced),Jakarta Raya,PT Navya Retail Indonesia,2 hari yang lalu,,,,,
Customs Clearence Staff,Jakarta Raya,,1 hari yang lalu,,,,,
DS. Support Team Leader (Sales Support & Organization Management),Jakarta Selatan,PT Coway International Indonesia,1 hari yang lalu,,,,,
General Affair Officer,Jakarta Barat,PT Daidan Aditama Yaksa,8 hari yang lalu,,,,,
Consulting - Industry Banking,Jakarta Raya,PT Accenture,1 hari yang lalu,,,,,
Associate Marketing Communications Manager,Jakarta Selatan,PT Garmin Indonesia Distribution,6 hari yang lalu,Rp 14.000.000 – Rp 20.000.000 per month,14000000.0,20000000.0,month,IDR
Admission Officer,Jakarta Raya,Yayasan Bina Nusantara,8 hari yang lalu,,,,,
Secretary,Jakarta Pusat,"PT SMART,Tbk",7 hari yang lalu,,,,,
Corporate Marketing Freight Forwarding,Jakarta Pusat,PT . GPI Logistics,1 hari yang lalu,,,,,
Area Manager,Jakarta Pusat,PT Mitsubishi Tanabe Pharma Indonesia,1 hari yang lalu,,,,,
Business Solutions Architect,Jakarta Raya,PT Kamoro Maxima Integra,9 hari yang lalu,,,,,
Mandarin Translator,Jakarta Selatan,PT Taman Wisata Jogja,6 hari yang lalu,,,,,
Purchasing Staff (Mandarin Speaking),Jakarta Timur,PT PALOMA HARDWARE,7 hari yang lalu,,,,,
Growth Partner / Progress Advisor,Jakarta Utara,PT CERIA BELAJAR EDUKASI INDONESIA,20 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month,6000000.0,8000000.0,month,IDR
SALES MARKETING INTERNATIONAL AIR FREIGHT,Jakarta Raya,PT Suryagita Nusaraya,13 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,8000000.0,10000000.0,month,IDR
Sales Account Manager,Jakarta Raya,PT. OCS Global Services (OCS Indonesia),5 hari yang lalu,,,,,
Sea Freight Commercial Pricing Executive,Jakarta Utara,PT Air Two Sea Logistics Indonesia,19 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,8000000.0,10000000.0,month,IDR
MARKETING LEAD — LUXURY BRANDED RESIDENCES,Jakarta Raya,JSI Group,6 hari yang lalu,,,,,
Digital Experience Channel Management Jr. Specialist,Jakarta Selatan,PT Bussan Auto Finance (BAF),18 hari yang lalu,,,,,
Salesforce Developer,Jakarta Selatan,PT Hyundai Autoever Indonesia,16 hari yang lalu,,,,,
Sales Executive (Freight Forwarding),Jakarta Selatan,PT. DAWU SUPPLY CHAIN MANAGEMENT INDONESIA,15 hari yang lalu,,,,,
Sales Heavy Equipment / Truck,Jakarta Utara,PT SINOPACIFIC PERALATAN INDONUSA,20 hari yang lalu,,,,,
KOL Acquisition Intern,Jakarta Selatan,PT Finture Tech Indonesia,22 hari yang lalu,,,,,
Senior Cyber Security,Jakarta Barat,PT Nusantara Compnet Integrator,28 hari yang lalu,,,,,
HVAC Sales/Application Engineer,Jakarta Raya,PT. Newark Engineering Indonesia,20 hari yang lalu,Rp 8.000.000 – Rp 12.000.000 per month,8000000.0,12000000.0,month,IDR
Merchandiser (Mandarin Speaker),Jakarta Barat,PT MISSSHINE TRENDS INDONESIA,27 hari yang lalu,Rp 9.500.000 – Rp 14.000.000 per month,9500000.0,14000000.0,month,IDR
Marketing Executive (Indonesia),Jakarta Raya,Duopharma Biotech Bhd Group of Companies.,15 hari yang lalu,"Rp 6,000,000 – Rp 9,000,000 per month",6000000.0,9000000.0,month,IDR
Technical Service Supervisor (Food Application),Jakarta Raya,"Ingredion (Thailand) Co., Ltd.",15 hari yang lalu,,,,,
Customer Experience - Japanese Speaker,Jakarta Pusat,PT Mitracomm Ekasarana,27 hari yang lalu,Rp 5.700.000 – Rp 6.500.000 per month,5700000.0,6500000.0,month,IDR
Software Account Manager (Paques),Jakarta Selatan,PT. Lintas Teknologi Indonesia,26 hari yang lalu,,,,,
Marketing Officer (Jabodetabek),Jakarta Raya,PT Dipo Star Finance,20 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month,5500000.0,7000000.0,month,IDR
C# Developer,Jakarta Selatan,PT Petrolink Services Indonesia,14 hari yang lalu,,,,,
Training Facilitator,Jakarta Raya,PT. OCS Global Services (OCS Indonesia),28 hari yang lalu,,,,,
Project Sales Manager,Jakarta Barat,,21 hari yang lalu,,,,,
Marketing,Jakarta Utara,PT Bali Artha Seduh,25 hari yang lalu,Rp 6.000.000 – Rp 8.500.000 per month,6000000.0,8500000.0,month,IDR
Life Planner/ Relationship Manager,Jakarta Raya,AXA Mandiri Life Planner,30+ hari yang lalu,,,,,
Project Estimator,Jakarta Barat,XY Illumination PT Cahaya Lux Asia Bali,15 hari yang lalu,Rp 7.000.000 – Rp 9.000.000 per month,7000000.0,9000000.0,month,IDR
EXPORT STAFF,Jakarta Selatan,PT CENTURY DISTRIBUTION SYSTEMS INDONESIA,12 hari yang lalu,,,,,
Accounting and Tax Staff,Jakarta Pusat,PT. Kimeko Jasa Handal,19 hari yang lalu,,,,,
Salesforce Developer,Jakarta Selatan,PT Hyundai Autoever Indonesia,16 hari yang lalu,,,,,
Training Facilitator,Jakarta Raya,PT. OCS Global Services (OCS Indonesia),28 hari yang lalu,,,,,
Purchasing Staff (Mandarin Speaking),Jakarta Timur,PT PALOMA HARDWARE,7 hari yang lalu,,,,,
Project Manager,Jakarta Barat,PT Draco Internasional,1 hari yang lalu,,,,,
Software Account Manager (Paques),Jakarta Selatan,PT. Lintas Teknologi Indonesia,26 hari yang lalu,,,,,
Sales Support (Japanese Speaker),Jakarta Pusat,PT JAC Consulting Indonesia,29 hari yang lalu,,,,,
C# Developer,Jakarta Selatan,PT Petrolink Services Indonesia,14 hari yang lalu,,,,,
Marketing Officer (Mandarin Speaker),Jakarta Pusat,PT Asuransi Raksa Pratikara,15 hari yang lalu,,,,,
Sales Corporate,Jakarta Pusat,PT Asuransi Wahana Tata,13 hari yang lalu,,,,,
Senior Account Manager,Jakarta Selatan,PT Jobstreet Indonesia,3 hari yang lalu,,,,,
Growth Partner / Progress Advisor,Jakarta Utara,PT CERIA BELAJAR EDUKASI INDONESIA,20 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month,6000000.0,8000000.0,month,IDR
Sea Freight Commercial Pricing Executive,Jakarta Utara,PT Air Two Sea Logistics Indonesia,19 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,8000000.0,10000000.0,month,IDR
Customer Service and Operation Specialist (Airfreight),Jakarta Selatan,Easy Speed International Logistics Limited,8 hari yang lalu,"Rp 8,000,000 – Rp 12,000,000 per month",8000000.0,12000000.0,month,IDR
Commercial Technology Specialist,Jakarta Raya,Web Travel Group (WebBeds) - Indonesia,5 hari yang lalu,Rp 9.000.000 – Rp 10.500.000 per month,9000000.0,10500000.0,month,IDR
