Title,Classification,Company,Location,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Sales Steel (Trading Machinery),(Penjualan),PT JAC Consulting Indonesia,Jakarta Raya,8 hari yang lalu,Rp 8.000.000 – Rp 12.000.000 per month,sales steel for japanese trading company,8000000.0,12000000.0,month,IDR
Storekeeper,"(Manufaktur, Transportasi & Logistik)",PT. Bombora Resorts Indonesia,Pekutatan,3 hari yang lalu,Rp 3.000.000 – Rp 4.000.000 per month,"Organized and detail-oriented storekeeper with experience in inventory control, receiving, and issuing goods, ensuring efficient stock management.",3000000.0,4000000.0,month,IDR
Area Sales Executive (Kupang),(Ritel & Produk Konsumen),PT. Godrej Consumer Products Indonesia,Kupang,25 hari yang lalu,,-,,,,
MANAGEMENT TRAINEE,"(Manufaktur, Transportasi & Logistik)",PT Surabaya Mekabox,Driyorejo,10 hari yang lalu,,"Management Trainee (Production, PPIC, Accounting / Engineering)",,,,
Architect Drafter,(Desain & Arsitektur),PT. Kendali Bumi Semesta,Jakarta Utara,12 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month,Architect Drafter,5500000.0,7000000.0,month,IDR
Commercial Executive Japanese Speaker (N2/N1),"(Manufaktur, Transportasi & Logistik)",PT K Line Logistics Indonesia,Jakarta Selatan,14 hari yang lalu,Rp 14.000.000 – Rp 17.000.000 per month,Key point of contact between an organization and its clients,14000000.0,17000000.0,month,IDR
Sales & Marketing,(Penjualan),PT Baria Bulk Terminal,Jakarta Utara,13 hari yang lalu,,"Join our dynamic team and drive business growth as a sales professional with PT Baria Bulk Terminal. Competitive salary, excellent benefits.",,,,
Area Manager,(Ritel & Produk Konsumen),PT Chateraise Gobel Indonesia,Jakarta Raya,18 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,"area manager, handle end to end operational",8000000.0,10000000.0,month,IDR
Coffee Trainer & Development Lead (mobile Jakarta & Surabaya),(Penjualan),PT Kapal Api Global,Jakarta Pusat,1 jam yang lalu,,"Design, develop & deliver comprehensive coffee and espresso training modules and training programs tailored to different business needs",,,,
Relationship Manager Business,(Penjualan),"PT Bank Permata, Tbk",Batam,5 hari yang lalu,,-,,,,
Pool Attendant & Gardener,(Keterampilan & Jasa),Apex Property Management,Badung,12 hari yang lalu,Rp 3.500.000 – Rp 4.500.000 per month,Maintain pools and lush gardens in Bali as part of a caring team with great benefits and career growth opportunities.,3500000.0,4500000.0,month,IDR
Accounts Executive,(Akuntansi),Bansam Sdn Bhd,Jakarta Utara,11 hari yang lalu,"Rp 6,750,000 – Rp 8,350,000 per month","Grow your accounting career at a leading firm - competitive salary, excellent benefits, and supportive culture.",6750000.0,8350000.0,month,IDR
Stockpile Operator,"(Pertambangan, Sumber Daya Alam & Energi)",,Jambi,23 jam yang lalu,,To do the process of goods in and out for shell,,,,
Japanese Speaker Sales SPV - Packaging Manufacture - Cikarang (A-122403),(Penjualan),RGF HR Agent Indonesia,Cikarang Pusat,11 hari yang lalu,Rp 7.000.000 – Rp 10.000.000 per month,Japanese Speaker Sales SPV for Packaging Manufacturing company in Central Cikarang,7000000.0,10000000.0,month,IDR
Client Onboarding Specialist - Surabaya,(Sumber Daya Manusia & Perekrutan),PT Ninety Nine Dotco,Jakarta Raya,30+ hari yang lalu,,"At 99 Group, we're on a mission to revolutionize the real estate industry by seamlessly integrating cutting-edge technology and innovation. If...",,,,
Senior Product Development - Beauty Company,(Pemasaran & Komunikasi),Talent Search Recruitment Consultant,Jakarta Selatan,7 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month,"Our client is a fast-growing beauty and skincare company in Indonesia, dedicated to providing high-quality and dermatologist-approved products.",15000000.0,20000000.0,month,IDR
Sales Executive - Opthal ENT,(Kesehatan & Medis),PT Surgika Alkesindo,Jakarta Raya,11 hari yang lalu,,"Requirements: Min. 2 years experiences as sales of Medical Devices, preferable specialty focuses on the anatomy, physiology, and disorders of the eyes",,,,
Supervisor Marketing (Heavy Equipment) - Leasing (B-122591),(Penjualan),RGF HR Agent Indonesia,Jakarta Selatan,6 hari yang lalu,Rp 11.000.000 – Rp 15.000.000 per month,Supervisor Marketing (Heavy Equipment) for a Leasing company in South Jakarta,11000000.0,15000000.0,month,IDR
Store Supervisor,(Ritel & Produk Konsumen),DUA PENDEKAR AYAM,Jawa Timur,24 hari yang lalu,,"Lead from the frontlines. Own the floor, grow your team, and fast-track your career. This isn’t just a job — it’s your launchpad at Dikichi.",,,,
Mandarin Translator,(Administrasi & Dukungan Perkantoran),PT. ALPEN FOOD INDUSTRY,Jakarta Utara,21 hari yang lalu,,This position will assist and support internal audit department in translating document and supporting department task.,,,,
Web Developer (Contract),(Teknologi Informasi & Komunikasi),"PT SMART,Tbk",Jakarta Raya,1 hari yang lalu,,"Requirement: Candidate must possess at least a Bachelor's Degree, Master's Degree / Post Graduate Degree, Computer Science/Information Technology...",,,,
Sales & Marketing Representative,(Penjualan),PT. CIL LOGISTICS INDONESIA,Semarang,4 hari yang lalu,,"Support sales growth in freight forwarding, build client relations, and drive market presence.",,,,
Wedding Stylist Assistant,(Desain & Arsitektur),Bali Love,Badung,7 hari yang lalu,Rp 4.000.000 – Rp 5.000.000 per month,"As a Wedding Stylist Assistant you will plays a vital role in transforming ideas into reality, reflect the couple's unique story and vision.",4000000.0,5000000.0,month,IDR
Taskforce - Sumatera Selatan,(Perbankan & Layanan Finansial),PT Amartha Mikro Fintek (Jakarta),Medan,30+ hari yang lalu,,"The Taskforce role carries significant responsibility and autonomy, with the opportunity to drive improvements through initiatives and proposals....",,,,
Audio Visual Associate25136532,(Administrasi & Dukungan Perkantoran),Sheraton Bali Kuta Resort,Jakarta Raya,4 hari yang lalu,,"Set-up, operate, and troubleshoot all AV/projection/lighting/conferencing equipment, devices, and systems. Oversee the set-up of AV equipment in...",,,,
Supervisor Marketing (Bus and Truck) - Leasing (B-122594),(Penjualan),RGF HR Agent Indonesia,Jakarta Selatan,6 hari yang lalu,Rp 11.000.000 – Rp 15.000.000 per month,Supervisor Marketing (Bus and Truck) for a Leasing company in South Jakarta,11000000.0,15000000.0,month,IDR
Loss Prevention Agent,(Keterampilan & Jasa),Inti Dufree Promosindo (IDP),Kuta,21 hari yang lalu,"Rp 4,064,500 – Rp 4,700,000 per month","Securing company assets. Preventing and detecting incidents/theft, both internal and external.",4064500.0,4700000.0,month,IDR
Senior Associate - Consulting - Executive Assistant/Admin/Office Support...,(Administrasi & Dukungan Perkantoran),PwC Indonesia,Jakarta Raya,30+ hari yang lalu,,The Executive Assistant / Administrative Support Specialist is responsible for providing comprehensive support to executives and ensuring the...,,,,
Commis I - Banquet25086176,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Bangka Belitung,30+ hari yang lalu,,"Prepare special meals or substitute items. Regulate temperature of ovens, broilers, grills, and roasters. Pull food from freezer storage to thaw in...",,,,
(Senior) Procurement Manager-Indonesia,"(Manufaktur, Transportasi & Logistik)",LAZADA.CO.ID,Indonesia,6 hari yang lalu,,"3. Report and update logistics procurement tasks to Country Head, Senior Management Team, and other related stakeholders whereas required
4....",,,,
(Senior) Procurement Manager-Indonesia,"(Manufaktur, Transportasi & Logistik)",LAZADA.CO.ID,Depok,6 hari yang lalu,,"3. Report and update logistics procurement tasks to Country Head, Senior Management Team, and other related stakeholders whereas required
4....",,,,
Head Bartender25110314,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Bangka Belitung,30+ hari yang lalu,,"Answer guest questions or concerns regarding the origin, vintage, and style of various wines. Check quality and quantity of all stock and supplies....",,,,
Senior Category Specialist,(Penjualan),PT Bukalapak.com,Jakarta Raya,30+ hari yang lalu,,"Execute category strategy based on direction of the line manager such as promotions, campaigns, and events to drive awareness, acquisition, and...",,,,
Venue Manager,(Olahraga & Rekreasi),C SPORT CENTER,Jakarta Selatan,5 hari yang lalu,,"This position is responsible in overseeing the common operation works, maintenance, field of play coordination.",,,,
Market Research Analyst,(Pemasaran & Komunikasi),PT Sarana Yukti Bandhana,Jakarta Selatan,13 hari yang lalu,,Market Research Analyst in South Jakarta,,,,
Mandarin Translator & Interpreter (Asst Manager Collection),(Administrasi & Dukungan Perkantoran),PT Anugerah Digital Indonesia,Jakarta Pusat,14 hari yang lalu,,"Leverage your Mandarin skills as a translator for an innovative digital finance company. Competitive salary, benefits, and career growth.",,,,
Associate Project Manager,(Teknologi Informasi & Komunikasi),PT Trinusa Travelindo,Jakarta Raya,30+ hari yang lalu,,"Developing and deliver reporting to streamline the process and reduce bottlenecks across the workflow
Maintaining the set up, approval matrix, data...",,,,
Order Management and Billing  (Contract),(Administrasi & Dukungan Perkantoran),PT Ecolab International Indonesia,Cikarang,30+ hari yang lalu,,Supervises daily activities of the Order Management & Billing team.Maintains workflow to provide effective & efficient service policies and procedures,,,,
SALES ENGINEER,(Penjualan),PT Gravalty Solution,Jakarta Barat,12 hari yang lalu,,"Are you a results-driven, strategic thinker with a passion for sales & marketing? Join our company, a forward-thinking industry leader innovation.",,,,
Centre Manager,(CEO & Manajemen Umum),I CAN READ,Jakarta Barat,13 hari yang lalu,,Centre Managers play a key leadership role in overseeing the daily operations of a learning facility.,,,,
HOST SPV,(Hospitaliti & Pariwisata),PT LAROCHELLE INDO LBP,Jakarta Raya,30+ hari yang lalu,,Oversee the service operations of a leading French restaurant in Jakarta. Outstanding customer service opportunities.,,,,
"Senior Software Engineer, Backend - Consumer Experience",(Teknologi Informasi & Komunikasi),PT Solusi Transportasi Indonesia,Jakarta Raya,30+ hari yang lalu,,"We are looking for a Senior Backend Engineer to join the CX Team. You will ensure high-quality deliverables, spanning across multiple key services...",,,,
STAFF 3D Modeller,(Desain & Arsitektur),PT.JYE SHING INDUSTRIAL,Karawang Timur,21 hari yang lalu,Rp 7.000.000 – Rp 10.000.000 per month,"Create accurate 3D mold models, optimize for production, support engineering, and ensure design quality and manufacturability.",7000000.0,10000000.0,month,IDR
SPO Assistant (Kalimantan Selatan),"(Pertanian, Hewan & Konservasi)","PT SMART,Tbk",Jakarta Pusat,19 hari yang lalu,,Job Descriptions: Develop work plans and targets based on the implementation of Sustainable Palm Oil (SPO) scheme of PSM based on Sustainability...,,,,
PERSONAL ASSISTANT OR ADMIN MANDARIN SPEAKER,(Administrasi & Dukungan Perkantoran),PT MASUK SUKSES PERTAMA,Jakarta Selatan,21 hari yang lalu,,Responsible for the conducting of the procedures and systems; Handle administrative work according to the needs;,,,,
"FP&A Senior Analyst (Food, Ads and Merchants)",(Akuntansi),PT GOTO GOJEK TOKOPEDIA TBK,Jakarta Raya,30+ hari yang lalu,,"Being part of the On-Demand Services FP&A team, you will be responsible for regular business reporting, including the preparation of weekly/monthly...",,,,
Color & Material Manager,(Teknik),PT. framas Indonesia,Jawa Barat,19 hari yang lalu,,"Professionals in chemical engineering and industrial engineering, involved in optimizing all related processes in managing the Color & Material Dept.",,,,
Accounts Receivable Associate (12 months contract),(Akuntansi),Coda Payments Pte Ltd,Jakarta Raya,30+ hari yang lalu,,"Responsible for handling transactions of payment channels in various countries
Reconciliation of transactions on a daily/weekly/monthly...",,,,
Finance Officer/AR (Auditor Background),(Akuntansi),PT Enerflex Indonesia,Jakarta Utara,29 hari yang lalu,,Excellent career advancement opportunities and dynamic energy solutions company.,,,,
Continuos Improvement Specialist,(Teknik),ASIA PULP AND PAPER,Medan,15 hari yang lalu,,"A Continuous Improvement Specialist analyzes a company's processes and makes suggestions on how to improve them, working with the Operations and...",,,,
Warehouse Assistant Mandarin,"(Manufaktur, Transportasi & Logistik)",PT. Surya Fajar Indonesia,Karawang,13 hari yang lalu,,"As a part of SF Group, we're rapidly growing to provide warehousing and supply chain solution. Be an impactful person as Warehouse Assistant with us!",,,,
Field Service Technician,(Teknik),PT Trust Recruit Indonesia,Bekasi,7 jam yang lalu,Rp 13.000.000 – Rp 15.000.000 per month,Looking for Field Service Tecnician,13000000.0,15000000.0,month,IDR
Logistic Supervisor,"(Manufaktur, Transportasi & Logistik)",PT Snf Polymers Indonesia,Cikande,22 hari yang lalu,,"Oversee efficient logistics at Indonesia's leading polymer manufacturer. Competitive salary, comprehensive benefits, and career growth.",,,,
Account Executive - Digital Advertising Platform,(Penjualan),PT Talenta Eksekutif Asia (Matcha Talent),Jakarta Raya,14 hari yang lalu,,"Lead client acquisition, campaign strategy, and performance optimization for programmatic advertising solutions",,,,
Commercial Sales Marketing Executive,(Real Estat & Properti),KNIGHT FRANK,Jakarta Selatan,3 hari yang lalu,,JOB RESPONSIBILITIES:  Generate new clients & promote company’s commercial/industrial property listings,,,,
Demi Chef25137112,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Bangka Belitung,2 hari yang lalu,,"Prepare special meals or substitute items. Regulate temperature of ovens, broilers, grills, and roasters. Pull food from freezer storage to thaw in...",,,,
Corporate Marketing (Mandarin Speaker),"(Manufaktur, Transportasi & Logistik)",PT . GPI Logistics,Jakarta Pusat,20 hari yang lalu,,"We're looking for new talent to secure new businesses for the company, as well as well as managing the existing. Let's develop your skills & join us.",,,,
Beauty Advisor - Benefit Cosmetics (BALIKPAPAN),(Ritel & Produk Konsumen),LUXASIA,Balikpapan,11 hari yang lalu,,"As a Beauty Advisor, you will be the face of our brand, providing exceptional customer service and expert beauty advice to our clients.",,,,
"Customer Service (Mandarin Speaking, Fresh Graduate)",(Call Center & Layanan Konsumen),PT Tulandut Kreatif Nusantara,Tangerang Selatan,13 hari yang lalu,,"Customer Service role for Mandarin-speaking fresh grads at AI livestreaming start-up in BSD. Join a fast-paced, innovative tech team!",,,,
Surgery Nurse (Bali Placement),(Kesehatan & Medis),CGBio Korea,Bali,7 hari yang lalu,,"Surgery Nurse to assist in plastic surgery, manage instruments and supplies, ensure complete patient care before, during, and post-surgery.",,,,
Data Engineer,(Sains & Teknologi),PT Amman Mineral Nusa Tenggara,Jakarta Selatan,9 jam yang lalu,,"designing, building, and maintaining scalable data infrastructure and pipelines that support business intelligence, advanced analytics, & data science",,,,
Business Process & Compliance Specialist,(Perbankan & Layanan Finansial),PT Bukalapak.com,Jakarta Raya,30+ hari yang lalu,,Bukalapak is an equal opportunity employer. Our hiring committee considers all applicants based on their merits and qualifications for each...,,,,
Talent Pool - Advisory Deals (A-SA),(Konsultasi & Strategi),PwC Indonesia,Jakarta Raya,30+ hari yang lalu,,"A career in our Advisory Deals will provide you the opportunity to help organisations realise the potential of mergers, acquisitions and...",,,,
Senior Manager Finance Accounting Tax (FAT) (Ceramics Distribution Company),(Akuntansi),PT Talenta Eksekutif Asia (Matcha Talent),Jakarta Raya,10 jam yang lalu,,"Lead the Finance, Accounting, and Tax functions of a high-volume distribution business",,,,
Marketing Coal & Mineral Supervisor,(Pemasaran & Komunikasi),PT Leon Testing And Consultancy,Jakarta Pusat,4 hari yang lalu,,Candidate must have work experience in the same position for 5 years.,,,,
Senior Product Manager - Cartography,(Teknologi Informasi & Komunikasi),PT GOTO GOJEK TOKOPEDIA TBK,Jakarta Raya,30+ hari yang lalu,,"Buckle up and get ready to join us as the Product Manager for our Location Selection pod! In this position, you will play a key role within our...",,,,
Relationship Manager - Taiwanese Business (Semarang),(Penjualan),PT Bank CTBC Indonesia,Semarang,3 jam yang lalu,,"Explore opportunities on new client in order to achieve Bank’s target through Bank producsts, credit facilities and any bank services",,,,
Sales Executive (Lab Instrumentation),(Penjualan),PT Chemoscience Indonesia,Jawa Barat,20 hari yang lalu,"Rp 7,000,000 – Rp 10,000,000 per month","“If you are a driven individual, with a background in Microbiology who wants to make great money working at an amazing company then keep reading!”",7000000.0,10000000.0,month,IDR
Sous Chef25127732,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Bangka Belitung,17 hari yang lalu,,Accountable for overall success of the daily kitchen operations. Exhibits culinary talents by personally performing tasks while leading the staff...,,,,
DevOps Engineer,(Teknologi Informasi & Komunikasi),PT Amman Mineral Nusa Tenggara,Jakarta Selatan,8 jam yang lalu,,"designing, implementing, and managing the infrastructure and deployment pipelines that support software development and production environments.",,,,
Merchant Issue Resolution Experience Manager,(Call Center & Layanan Konsumen),PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,30+ hari yang lalu,,"Join our team and make a real impact! As the Merchant Issue Resolution Experience Senior Manager, you and your team will play a pivotal role in...",,,,
Guest Experience Agent25078931,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Bangka Belitung,30+ hari yang lalu,,"When you join the Sheraton family, you become a member of its global community. We’ve been a place to gather and connect since 1937. At Sheraton, a...",,,,
English Customer Digital  - Yogyakarta,(Call Center & Layanan Konsumen),Teleperformance,Yogyakarta,1 hari yang lalu,,We are seeking a customer-oriented service representative to provide information and resolve any emerging problems that our customers might face.,,,,
IT Support Officer (Bagendang),(Teknologi Informasi & Komunikasi),"PT SMART,Tbk",Kalimantan Tengah,18 hari yang lalu,,"General Accountabilities : Perform IT infrastructure support (hardware and equipment), including preventive maintenance (anti virus protection...",,,,
SALES - Denpasar,(Ritel & Produk Konsumen),PT Jaya Fermex,Denpasar,28 hari yang lalu,,We are seeking a motivated and results-driven Sales Executive to join our dynamic sales team. The ideal candidate will have a passion for sales,,,,
Maintenance Supervisor,(Teknik),PT TOPY PALINGDA Manufacturing Indonesia,Karawang,17 hari yang lalu,Rp 6.800.000 – Rp 7.800.000 per month,"Develop preventive maintenance schedules for plant, machinery and equipment to ensure that these continue to operate at optimum levels.",6800000.0,7800000.0,month,IDR
SPARE PART MANAGEMENT SUPPORT (TEMPORARY),"(Manufaktur, Transportasi & Logistik)",PT Epson Indonesia,Jakarta Selatan,5 hari yang lalu,,"To Support and smooth Customer Services operation especially support for  DOA Management, and Spare Part Management support.",,,,
SALES MANAGER,(Penjualan),PT Thermax International Indonesia,Jakarta Selatan,24 hari yang lalu,,"Achieve targets as per Annual Business Plan.
Sales & Marketing of Industrial capital goods (experience in sales of Boilers, Heaters preferred).",,,,
IELTS Instructor,(Pendidikan & Pelatihan),Briton English Education,Jakarta Raya,5 hari yang lalu,,Full-Time IELTS Instructor with min 7.5–8.0 IELTS (last 2 yrs). Overseas grads preferred. Willing to work at Briton centres outside Jabodetabek.,,,,
Promotion Staff Denpasar Branch,(Ritel & Produk Konsumen),PT SHARP Electronics Indonesia,Denpasar,18 menit yang lalu,,Job Specification : Candidates must posses minimal Diploma Degree from any major Experience minimal 1 year as promotion staff Able working as team...,,,,
Data Analyst - Customer Data Platform (CDP),(Teknologi Informasi & Komunikasi),Finns Beach Club,Badung,19 hari yang lalu,,FINNS World's Best Beach Club is more than a beach club — it's a destination for vibrant energy and thrilling entertainment.,,,,
SEO Content Writer Intern,(Pemasaran & Komunikasi),PT Ninety Nine Dotco,Jakarta Raya,30+ hari yang lalu,,We're on the hunt for an enthusiastic SEO Intern who's ready to dive into real estate digital marketing. You'll be an integral part of our dynamic...,,,,
Sales Account Executive,(Penjualan),PT Cipta Medika Informasi (PrimaKu),Setiabudi,12 hari yang lalu,,"PT Cipta Medika Informasi (PrimaKu) sedang membuka lowongan untuk posisi Penuh waktu Sales Account Executive di Kuningan Tim., Daerah Khusus...",,,,
Sales Engineer,(Teknologi Informasi & Komunikasi),PT Secom Indonesia,Jakarta Selatan,6 hari yang lalu,Rp 5.500.000 – Rp 7.500.000 per month,"Menjadi ahli teknis tim sales: menganalisis kebutuhan klien, merancang solusi kustom, dan berkolaborasi untuk kesuksesan penjualan.",5500000.0,7500000.0,month,IDR
Account Executive (Sintang) - Tecno Indonesia,(Penjualan),PT Transisi Mobile Indonesia,Sintang,14 hari yang lalu,,Rewarding Account Executive role with PT Transisi Mobile - grow your career and drive our business forward!,,,,
Relationship Manager,(Pemasaran & Komunikasi),PT Bukalapak.com,Jakarta Raya,30+ hari yang lalu,,Bukalapak is an equal opportunity employer. Our hiring committee considers all applicants based on their merits and qualifications for each...,,,,
Restaurant Manager25127694,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Kecamatan Tangerang,18 hari yang lalu,,"Areas of responsibility include Restaurants/Bars and Room Service, if applicable. Supervises daily restaurant operations and assists with menu...",,,,
Business Operation Support (Mandarin Speaker - Freshgraduate),(Administrasi & Dukungan Perkantoran),PT. BERKAH GIAT JAYA,Jakarta Selatan,21 hari yang lalu,Rp 7.000.000 – Rp 10.000.000 per month,you will work as business operation support to our sister company name YesssCredit Multifinance,7000000.0,10000000.0,month,IDR
Business Representative B2G,(Penjualan),PT. Berca Hardayaperkasa,Jakarta Pusat,6 hari yang lalu,,"You are responsible for building strong customer relationship, aggressively develop & manage strategic accounts in Government Sector.",,,,
Associate Business Operations Manager,(Konsultasi & Strategi),PT Trinusa Travelindo,Jakarta Raya,30+ hari yang lalu,,Manage the operational performance. Responsible for overseeing the day-to-day operations of the accommodation ID domain. You will play a pivotal...,,,,
Food & Beverage Manager25111943,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Nusa Tenggara Barat,30+ hari yang lalu,,"Position responsible for all the food and beverage operations, which includes all culinary, restaurant, beverage and room service operations....",,,,
Director Sales & Marketing25081990,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Bangka Belitung,30+ hari yang lalu,,Functions as the leader of the property’s sales department for properties with bookings over 300 peak rooms and significant local catering revenue....,,,,
Sales Representative (Sumedang),(Kesehatan & Medis),DKT Indonesia,Sumedang,4 hari yang lalu,,Sales Representative plays a crucial role in driving revenue growth for a company.,,,,
Security & Parking Staff – Menara Jakarta,(Keterampilan & Jasa),ASRI (a subsidiary of Agung Sedayu Group),Kemayoran,1 hari yang lalu,,"Min. 2 years experience in as Security & Parking Staff in Mall / Hotel / Building
Having Gada Pratama certification is preferred
Proficient in Mall...",,,,
Internal Audit Specialist,(Akuntansi),PT Galenium Pharmasia Laboratories,Jakarta Raya,1 hari yang lalu,,"Responsibility :Proving, recommending, supporting, proposing, predicting, analyzing, testing and preparing audit activities as well as internal...",,,,
Mechandiser,"(Manufaktur, Transportasi & Logistik)",PT Mercindo Global Manufaktur,Kabupaten Semarang,25 hari yang lalu,,"Kami membuka peluang bagi Anda yang ingin berkembang, terbiasa berpikir analitis, dan siap membangun karir berkelanjutan bersama tim yang visioner.",,,,
Project Manager - Main Contractor (Building),(Konstruksi),PT Trust Recruit Indonesia,Jakarta Raya,4 hari yang lalu,,"We are looking for an expert in Project Manager Building, Warehouse, or Factory for Jakarta project in one of leading multinational main contractor",,,,
Business Consultant Finance,(Akuntansi),PT IFS Solusi Integrasi,Jakarta Selatan,5 hari yang lalu,,Requirements: Bachelor Degree majoring in Corporate Finance / Accounting from reputable University Having experience for at least two years as...,,,,
Primary Teacher / Guru SD,(Pendidikan & Pelatihan),Yayasan Fransiskus Asisi Pelindung,Banten,12 hari yang lalu,Rp 5.000.000 – Rp 7.000.000 per month,"Nurture young minds as a Primary Teacher. Rewarding role with competitive salary, professional development, and supportive environment.",5000000.0,7000000.0,month,IDR
Vendor & Contract Management Intern,(Sumber Daya Manusia & Perekrutan),PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,30+ hari yang lalu,,"Proactively liaise with the Procurement Buyer for Vendor documents requirement, all of type of agreement.
Maintain the internal Tracker for...",,,,
Channel Development Officer (Mandarin Speaker),(Penjualan),PT. ALPEN FOOD INDUSTRY,Jakarta Utara,22 hari yang lalu,,"This position is responsible to drive sales via distributor programs, market research, performance tracking, and cross-department collaboration.",,,,
Sales Supervisor Maluku,(Ritel & Produk Konsumen),PT Eka Jaya Internasional,Maluku,5 hari yang lalu,,"Shape Your Bright Career with Us! 

Eka Jaya Group (Hanasui, NCo) is #Hiring for the Sales Supervisor Maluku position!",,,,
Sales Retailer Supervisor Depo Sumbawa,(Ritel & Produk Konsumen),PT Korea Tomorrow & Global  Indonesia,Sumbawa,11 hari yang lalu,,As the head of the Depo who has the duties and responsibilities of marketing and sales operational activities in the Depo coverage area.,,,,
Upmarket & Local Legend Sulawesi (Contract Based),(Penjualan),PT Solusi Transportasi Indonesia,Makassar,17 hari yang lalu,,We're looking for a strategic and entrepreneurial Upmarket & Local Legend Manager Associate to lead our efforts in unlocking the hidden potential...,,,,
Account Executive,(Penjualan),PT. Tripper Nature,Bali,28 hari yang lalu,,Ready to take your sales career global? Join our team as an Account Executive and play a key role in connecting our finest products with the world.,,,,
Regional Trainer Agency,(Sumber Daya Manusia & Perekrutan),PT Asuransi Jiwa Manulife Indonesia (Dept PB Danamon),Semarang,16 hari yang lalu,,Position Overview: The Agency Trainer is responsible for developing and implementing training programs that enhance the skills and knowledge of our...,,,,
Senior Account Executive (Jakarta Area | Unlimited Earning | Hybrid Working),(Penjualan),BRITISHPEDIA MEDIA GROUP SDN.BHD,Jakarta Raya,20 hari yang lalu,,Are you ready to inspire and be inspired? Apply now to begin your journey with British Publishing House.,,,,
Export Sales Specialist (Australia & New Zealand),(Penjualan),ASIA PULP AND PAPER,Jakarta Raya,5 hari yang lalu,,"Key job responsibilities include: Manage overall export functions such as order confirming, order summarizing, following up with Export Operations...",,,,
Business Development Assistant (POLEWALI),(Penjualan),PT Yili Indonesia Dairy (Sales Office),Polewali,15 hari yang lalu,,-,,,,
Taskforce - Kalimantan,(Perbankan & Layanan Finansial),PT Amartha Mikro Fintek (Jakarta),Banjarmasin,30+ hari yang lalu,,"The Taskforce role carries significant responsibility and autonomy, with the opportunity to drive improvements through initiatives and proposals....",,,,
RECEPTIONIST,"(Manufaktur, Transportasi & Logistik)",PT Uniair Indotama Cargo,Jakarta Utara,25 hari yang lalu,,"Acted as frontliner Receptionist to greet coming visitors, answer calls, and input documents.",,,,
Sales Executive - Car Accessories,(Penjualan),PT Trust Recruit Indonesia,Jakarta Pusat,11 hari yang lalu,Rp 3.500.000 – Rp 5.000.000 per month,Sales Executive for a leading Car Accessories Distributor company,3500000.0,5000000.0,month,IDR
Senior Sales Marketing - Chemical (Cosmetic & Personal Care) - Bekasi(B-122469),(Penjualan),RGF HR Agent Indonesia,Bekasi,11 hari yang lalu,Rp 7.000.000 – Rp 10.000.000 per month,Senior Sales Marketing for a Chemical (Cosmetic & Personal Care) company in Bekasi,7000000.0,10000000.0,month,IDR
HRD & GA (Japanese Speaker),(Sumber Daya Manusia & Perekrutan),PT Peoplyee Tech Indonesia,Cikarang Selatan,1 hari yang lalu,,"HRGA  with 3+ yrs exp, JLPT N3+, handling GA, HR, IT, safety, legal, events & expat support, preferably in Japanese mfg firm.",,,,
Live Streaming Content Planner Intern,(Pemasaran & Komunikasi),Bed and Breakfast Extra Indonesia,Jakarta Barat,22 hari yang lalu,,Join Us Now!,,,,
Livestreaming Monitoring Coach,"(Periklanan, Seni & Media)",Bed and Breakfast Extra Indonesia,Jakarta Barat,22 hari yang lalu,,Join Us Now!,,,,
Operation (Mandarin Speaker Only) – Freight Forwarding,(Administrasi & Dukungan Perkantoran),PT. Sino Cargo Indonesia,Kelapa Gading,26 hari yang lalu,,Develop your Mandarin skills and career and advance your freight forwarding career with a leading logistics provider in Jakarta.,,,,
Internal Audit – Operations,(Akuntansi),PT Amman Mineral Nusa Tenggara,Sumbawa Barat,12 hari yang lalu,Rp 666 – Rp 999 per month,"Responsible for providing an independent, objective assurance and consulting activity designed to add value and improve an organization’s operations",666.0,999.0,month,IDR
Sales Executive (Mandarin Speaker) - Hospitality - Bali (A-115714),(Penjualan),RGF HR Agent Indonesia,Bali,7 hari yang lalu,Rp 5.300.000 – Rp 7.000.000 per month,Sales Executive (Mandarin Speaker) for a Hospitality Company in Bali,5300000.0,7000000.0,month,IDR
Taskforce - Bali NTT NTB,(Perbankan & Layanan Finansial),PT Amartha Mikro Fintek (Jakarta),Kupang,30+ hari yang lalu,,"The Taskforce role carries significant responsibility and autonomy, with the opportunity to drive improvements through initiatives and proposals....",,,,
