Title,Classification,Company,Location,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Export Import (Exim) Officer - (DUMAI),"(Manufaktur, Transportasi & Logistik)",PT Pacific Indopalm Industries,Dumai,6 jam yang lalu,,Preparing all relevant document for incoming and out going material as per Indonesia regulation,,,,
Operations Specialist - Jabodetabek,"(Manufaktur, Transportasi & Logistik)",PT Xanhsm Green And Smart Mobility Indonesia,Jakarta Raya,5 jam yang lalu,,"Coordinate drivers, monitor performance, handle incidents, and oversee onboarding, training, and development",,,,
Finance Manager,(Akuntansi),PT. DAUR MATERIAL INDONESIA,Tangerang,1 hari yang lalu,,"Lead financial strategy, planning, and operations to drive growth, ensure liquidity, and support Remind’s sustainability mission.",,,,
Sales Consultant Logistics (Makassar),(Penjualan),PT Serasi Autoraya (Member of Astra),Makassar,6 jam yang lalu,,Job Descriptions : Coordinate the sales offer process to prospective customers Increasing market share and maintain relationship with Customers...,,,,
AMAG Graduated Program (Management Trainee),(Teknologi Informasi & Komunikasi),PT Asuransi Multi Artha Guna Tbk,Jakarta Raya,1 hari yang lalu,,Qualification Fresh Graduated from any majors Minimum GPA 3.00 Active in organization or campus activities Able to speak English.,,,,
Import - Export document,"(Manufaktur, Transportasi & Logistik)",PT Delta Marine Continents,Jakarta Barat,6 jam yang lalu,,"Our office located in Rukan Sentra Niaga Blok B No 3 , Green Lake City, Duri Kosambi West Jakarta Position: Import Document Requirements:Maximum 30...",,,,
Sales Supervisor Modern Trade (Surabaya),(Ritel & Produk Konsumen),PT Sukanda Djaya,Surabaya,6 jam yang lalu,,Responsible for achieving sales target in modern trade area,,,,
Quantity Surveyor – Store Development,(Konstruksi),PT Eigerindo Multi Produk Industri,Bandung,5 jam yang lalu,,You will be responsible for ensuring accuracy and accountability in our store development projects — from construction to procurement,,,,
Technical Service Supervisor (Food Application),(Sains & Teknologi),"Ingredion (Thailand) Co., Ltd.",Jakarta Raya,1 hari yang lalu,,"As a Technical Service Supervisor, you will develop innovative prototypes, using your technical skills to drive the technical customer support",,,,
Staff - Store Warehouse,"(Manufaktur, Transportasi & Logistik)",PT TVS Motor Company Indonesia,Karawang Timur,1 hari yang lalu,,"Maintaining stock accuracy by conducting regular checks, arrangement of parts within the warehouse and organize special requirements for certain stock",,,,
QC Team Leader (Collection),(Perbankan & Layanan Finansial),PT Teknologi Internasional Nusantara,Yogyakarta,6 jam yang lalu,,-,,,,
PROGRAM COORDINATORS,(Teknologi Informasi & Komunikasi),PT. Surya Teknologi Batam,Batam Kota,2 jam yang lalu,,Provide administrative support to Marketing Engineers To liaise closely with customers in ensuring efficient processing of new...,,,,
M - Distribution Compensation,(Asuransi & Dana Pensiun),PT Prudential Life Assurance,Jakarta Raya,54 menit yang lalu,,"Manage and analyze compensation payments across distribution channels, ensuring accuracy, compliance, and timely execution.",,,,
SAP TRAINEE PROGRAM,(Teknologi Informasi & Komunikasi),"PT. Metrodata Electronics, Tbk",Jakarta Barat,1 hari yang lalu,,SAP Trainee Program,,,,
Technical Service Manager,(Teknik),PT Bali Holiday Village (Club Med),Bintan,4 jam yang lalu,,"Oversee technical operations at Bintan resort; lead skilled team, drive continuous improvement. Competitive benefits package.",,,,
Freelance Trainers Collaboration Staff,(Olahraga & Rekreasi),PT Sands Bosum Sekolah Bisnis Indonesia,Jakarta Utara,7 jam yang lalu,,We are seeking a proactive and detail-oriented Trainers Collaboration Staff member to join our team.,,,,
Internal Audit Supervisor,(Akuntansi),PT Anugerah Pharmindo Lestari (APL),Jakarta Raya,1 hari yang lalu,,"Job Description: Creating Audit Program, Audit Scope and Risk Analysis. Perform Audit Activity align with the Annual Internal Audit Plan",,,,
"Team Leader Collection Support Quality Assurance, Operations, SeaBank",(Perbankan & Layanan Finansial),PT Bank Seabank Indonesia,Jakarta Selatan,1 hari yang lalu,,Evaluate all related to quality checking in the Collection & Asset Recovery and monitor the precision and accuracy of the QA implementation process,,,,
Quality System Engineer,"(Manufaktur, Transportasi & Logistik)",PT Sulzer Indonesia,Purwakarta,1 hari yang lalu,,Coordinates with all shop levels to ensure all products and service processes are in accordance with the established Quality Standards.,,,,
Senior Compensation & Benefit,(Sumber Daya Manusia & Perekrutan),"Lembaga Pengkajian Pangan, Obat-Obatan dan Kosmetika MUI",Bogor,4 hari yang lalu,,This position will play a pivotal role in aligning our total rewards approach with strategic business objectives and internal equity.,,,,
Talent Acquisition & People Development,(Sumber Daya Manusia & Perekrutan),PT Suryacipta Swadaya,Karawang Timur,1 hari yang lalu,,"Lead talent acquisition, employer branding, and people development to build a strong, future-ready workforce.",,,,
SENIOR ASSOCIATE (LEGAL),(Hukum),PT. SHAN HAI MAP,Jakarta Barat,1 hari yang lalu,,Shan Hai Map is the most popular consultant coorporate in China provided all kind business license. We expand our business in East Asia until now,,,,
"Field Collection (Semarang), Operations, SeaBank",(Perbankan & Layanan Finansial),PT Bank Seabank Indonesia,Semarang,1 hari yang lalu,,Prepare a list of debtors before making a visit and updating all results of debtor visits through daily reports,,,,
Logistic - Good Receipt Admin,"(Manufaktur, Transportasi & Logistik)",PT Amerta Indah Otsuka,Sukabumi,1 hari yang lalu,,"Logistic, Warehouse",,,,
Sales Executive - Freight Forwarding,"(Manufaktur, Transportasi & Logistik)",PT Dexter Eurekatama (Dexter Cargo),Jakarta Pusat,1 hari yang lalu,Rp 5.500.000 – Rp 7.500.000 per month,"Currently, we're hiring for Sales Executive - Freight Forwarding. Let's join and grow with us!",5500000.0,7500000.0,month,IDR
Arabica Trader,(Penjualan),VOLKOPI INDONESIA,Medan,6 jam yang lalu,,"Arabica Coffee Trader with expertise in sourcing, sales, market analysis, and risk management, delivering growth and quality assurance.",,,,
TMEA Associate (Contractual),(Ritel & Produk Konsumen),"PT Darya Varia Laboratoria, Tbk",Jakarta Selatan,23 jam yang lalu,,"Support Project Manager (PM) in monitoring project, Support PM in Commercial Preparation and Run, Support in documentation requirement checking",,,,
Mechanic,(Keterampilan & Jasa),Strawland,Cikupa,2 jam yang lalu,,"""MECHANIC ( URGENTLY REQUIRE )"", interviews are only for candidates who meets the qualifications above.",,,,
Sales Executive,(Penjualan),PT Daihan LAbtech,Batam,31 menit yang lalu,,-,,,,
Desk Collection Specialist - Tangerang Area,(Perbankan & Layanan Finansial),PT. BERKAH GIAT JAYA,Tangerang,1 hari yang lalu,,Collection,,,,
Cinema Supervisor - Samarinda,(Hospitaliti & Pariwisata),PT Graha Layar Prima,Samarinda,1 hari yang lalu,,Responsible for all aspects of cinema operations including development of the business Improvement and maintenance of standards Responsible for...,,,,
Procurement Staff,"(Manufaktur, Transportasi & Logistik)",PT. ESCO Teknologi Integrasi,Jakarta Selatan,1 hari yang lalu,,Everything we do is to enable your business to achieve maximum productivity and profitability. It was true when ESCO opened in 2003,,,,
"Jewellery Representative (Mondial,Frank&co,The Palace) - Jakarta Area",(Ritel & Produk Konsumen),PT Central Mega Kencana,Jakarta Pusat,1 hari yang lalu,,"Represent prestigious jewelry brands to high-end customers in Jakarta. Competitive salary, great benefits and career growth.",,,,
Salesforce Developer,(Teknologi Informasi & Komunikasi),PT Hyundai Autoever Indonesia,Jakarta Selatan,1 hari yang lalu,,"PURPOSE OF POSITIONResponsible of Salesforce Sales Cloud &amp; Partner Community module, develop and configure required function, technical support...",,,,
SOP Supervisor,(Administrasi & Dukungan Perkantoran),PT Takari Kokoh Sejahtera,Jakarta Barat,3 jam yang lalu,,Takari Kokoh Sejahtera is a group company of Mitsubishi HC Capital,,,,
Admin Support | Virtual Assistant,(Administrasi & Dukungan Perkantoran),Indo Virtual Informatika,Denpasar,1 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,"Rp 10,000,000 - 12,000,000 per month based on your experience",8000000.0,10000000.0,month,IDR
Accounting Staff,(Akuntansi),PT Adhigana Perkasa Mandiri,Jakarta Utara,4 jam yang lalu,Rp 5.000.000 – Rp 5.700.000 per month,"Journaling 
Controling Cash Flow 
Accounting",5000000.0,5700000.0,month,IDR
Planner (Project Site),"(Pertambangan, Sumber Daya Alam & Energi)",PT LIUGONG MACHINERY INDONESIA,Sulawesi Utara,3 jam yang lalu,,"responsible for planning and coordinating maintenance activities in an organization, ensuring that heavy equipment in optimal working condition",,,,
Collection Admin Assistant,(Administrasi & Dukungan Perkantoran),PT Trinusa Travelindo,Jakarta Raya,1 hari yang lalu,,"[MUST HAVE] Proficient in Microsoft Excel, Google Sheets, and basic reporting tools
[MUST HAVE] Strong attention to detail and organizational...",,,,
Purchasing Manager - Manufacture - Karawang (C-122711),"(Manufaktur, Transportasi & Logistik)",RGF HR Agent Indonesia,Karawang,1 hari yang lalu,Rp 10.000.000 – Rp 13.000.000 per month,Purchasing Manager for Japanese Manufacturing company in Karawang.,10000000.0,13000000.0,month,IDR
Back-End Engineer,(Teknologi Informasi & Komunikasi),PT Amman Mineral Nusa Tenggara,Jakarta Selatan,9 jam yang lalu,,"developing and maintaining robust, scalable, and secure server-side applications and APIs that power our products.",,,,
Data Analyst,"(Pertambangan, Sumber Daya Alam & Energi)",PT Amman Mineral Nusa Tenggara,Jakarta Selatan,1 hari yang lalu,,The Data Analyst plays a crucial role in transforming data into meaningful insights that drive business decisions.,,,,
SAP Basis Analyst,(Teknologi Informasi & Komunikasi),"PT SMART,Tbk",Jakarta Raya,2 jam yang lalu,,"Ensuring all SAP systems runs within the agreed SLA (availability, performance and security), review operating system logs, system logs and errors ...",,,,
Senior Service Assurance Systems Front-End Developer,(Teknologi Informasi & Komunikasi),PT. ISAT,Kepulauan Riau,3 jam yang lalu,,"The Service Assurance Systems Group, develop & maintain many software systems & applications which support the operation of Viasat services.",,,,
